com.ucturbo,2,0,5
com.traveloka.android,3,2,11
com.iberia.android,6,1,9
com.prisaradio.replicapp.cadenaser,6,2,8
com.tinyco.potter,3,0,13
com.google.android.music,2,1,7
com.nianticlabs.pokemongo,1,0,4
com.piriform.ccleaner,11,1,12
com.klook,8,0,14
com.crazylabs.amaze.game,5,0,10
com.fds.hfdghgfgfh,4,0,4
com.cam001.selfievideo,2,1,3
com.google.android.apps.tachyon,0,0,8
com.sega.sonic4episode2,10,2,9
com.kwalee.drawit,7,1,9
com.azurgames.stackball,1,0,7
com.herocraft.game.free.redball3,4,0,7
com.vivashow.share.video.chat,7,1,8
id.dana,3,2,8
de.commerzbanking.mobil,7,2,8
in.swiggy.android,5,1,10
com.more.dayzsurvival.gp,3,1,10
com.smule.singandroid,10,0,8
com.supercell.brawlstars,0,0,5
com.vzw.hss.myverizon,1,0,5
io.voodoo.crowdcity,7,0,9
com.qrcorde.scan.barcode.reader.generator,6,0,10
com.grand.prison.escape.game,2,1,5
com.mcdonalds.app,5,3,9
com.ss.android.ugc.boom,5,3,12
com.zilingo.users,4,4,15
perfict.design.one,0,0,4
com.google.android.gms,0,0,6
com.psafe.msuite,0,0,18
com.airbnb.android,5,0,14
com.sec.app.samsungprintservice,0,0,3
app.zenly.locator,6,2,10
com.allstate.view,3,3,6
com.luckyday.app,6,0,12
com.peoplefun.wordcross,5,0,12
com.kiloo.subwaysurf,4,0,9
com.hyperspeed.rocket.applock.free,2,0,6
com.ab.videoplayerhd,0,0,4
com.ixigo.train.ixitrain,0,0,16
com.xiaomi.smarthome,6,2,12
com.vova.android,7,0,14
org.telegram.messenger,0,0,3
com.alifesoftware.stocktrainer,8,2,10
com.grability.rappi,6,1,10
com.u2opia.woo,6,1,11
com.discord,0,0,8
com.dailyselfie.newlook.studio,0,0,11
ru.appkode.friendsclub,2,0,7
forex.game,10,1,13
com.stubhub,11,5,11
com.custom.pickmeup,6,1,9
com.netflix.mediaclient,1,1,3
com.hy.sfacer,3,3,7
com.kronos.mobile.android,4,0,2
com.picsart.studio,4,1,13
com.chickfila.cfaflagship,1,2,3
com.lazada.android,7,2,6
mini.block.craft.free.mc,2,0,4
com.nintendo.zara,2,0,3
com.google.android.inputmethod.latin,0,0,5
com.professionalgamingart.princessrunningtohome,0,0,8
com.robot.ring.fighting,2,1,5
com.ppa.real.shooting.strike,1,0,6
com.alibaba.aliexpresshd,4,1,7
com.outfit7.mytalkingtom2,8,3,12
com.zeenews.hindinews,9,2,7
com.google.android.calendar,0,0,9
video.like,0,0,13
com.samsung.privilege,7,0,9
com.opera.mini.native,0,0,5
com.mxtech.videoplayer.ad,2,0,17
future.me.old.baby.astrology,6,0,6
com.truecaller,1,0,9
com.mobile.legends,1,1,4
com.jio.myjio,6,3,11
com.samsung.smartviewad,7,0,4
com.wf.wellsfargomobile,8,3,5
com.tripadvisor.tripadvisor,1,0,17
free.vpn.unblock.proxy.turbovpn,2,0,5
tv.pluto.android,6,0,6
com.fugo.wow,9,1,10
iflix.play,6,2,9
com.ocard,4,0,10
br.gov.fazenda.receita.irpf,2,0,6
de.flixbus.app,0,0,14
com.canva.editor,3,0,9
com.ivy.galaxyshooting.sky,0,1,8
br.com.mobits.cartolafc,3,1,4
com.eci.citizen,5,0,11
com.poshmark.app,5,2,10
,754,165,1709
